feature,importance
综合发展指数,0.4932
作业执行力指数,0.2644
学业潜力指数,0.21759999999999996
作业完成_课堂任务比,0.1575999999999999
英语成绩,0.15679999999999994
线上学习质量指数,0.14079999999999998
社交指数,0.10279999999999997
奖学金次数,0.09359999999999997
线上互动率,0.05999999999999994
英语平均分,0.05559999999999994
竞赛次数,0.04479999999999993
锻炼次数,0.029999999999999916
回帖数,0.027199999999999936
立定跳远,0.027199999999999936
讨论数,0.027199999999999936
社团次数,0.026399999999999913
锻炼均次,0.025999999999999912
英语成绩波动,0.023199999999999908
作业平均分_课堂任务,0.021599999999999932
视频学习时长均值,0.01919999999999995
月均上网时长,0.017199999999999948
作业提交次数,0.01639999999999997
作业完成次数,0.01639999999999997
最近90天跑步次数,0.01639999999999995
社团活跃天数,0.01599999999999995
线上访问量均值,0.01559999999999997
图书馆次数,0.014399999999999991
性别,0.01399999999999999
锻炼周数,0.013999999999999967
视频学习时长波动,0.012799999999999988
1000米,0.012799999999999988
专业,0.011999999999999966
试卷参与次数,0.01160000000000001
作业分数波动,0.011599999999999989
线上访问量,0.011599999999999989
仰卧起坐,0.01120000000000001
互评分次数,0.01080000000000001
学院,0.01040000000000001
最近60天跑步次数,0.010399999999999987
学习稳定性指数,0.009199999999999986
力量项目成绩,0.007200000000000007
白天到馆次数,0.007200000000000007
视频学习时长,0.007200000000000007
学习持续性指数,0.0064000000000000055
线上积极性指数,0.0064000000000000055
考试分波动,0.0064000000000000055
跑步学期数,0.0064000000000000055
周末门禁次数,0.006000000000000005
锻炼学期数,0.006000000000000005
锻炼_体测比,0.006000000000000005
生活规律指数,0.005600000000000005
耐力项目成绩,0.005200000000000005
锻炼波动,0.005200000000000005
体测分,0.005200000000000005
800米,0.004800000000000004
跑步次数,0.004800000000000004
学习指数,0.004800000000000004
最近30天跑步次数,0.004400000000000004
英语考试次数,0.004400000000000004
上网时长,0.004400000000000004
图书馆活跃天数,0.004400000000000004
坐位体前屈,0.0040000000000000036
跑步活跃天数,0.0040000000000000036
自律指数,0.0036000000000000034
BMI偏高,0.0036000000000000034
进馆次数,0.0032000000000000028
奖学金金额,0.0032000000000000028
运动学习平衡指数,0.0028000000000000026
周末到馆次数,0.0028000000000000026
籍贯,0.0020000000000000018
BMI偏低,0.0020000000000000018
晚间到馆次数,0.0020000000000000018
肺活量,0.0020000000000000018
健康指数,0.0016000000000000014
上网波动,0.0016000000000000014
拓展学习时长,0.001200000000000001
高耗时低产出指数,0.001200000000000001
图书馆进出平衡,0.001200000000000001
夜间占比,0.0008000000000000007
夜间次数,0.0008000000000000007
民族,0.00040000000000000034
政治面貌,0.00040000000000000034
白天门禁次数,0.00040000000000000034
BMI,0.00040000000000000034
问答参与次数,0.00040000000000000034
出馆次数,0.0
夜间活跃学习失衡指数,0.0
上网_跑步比,0.0
门禁活跃天数,-0.00040000000000000034
上网_图书馆比,-0.001200000000000001
风险指数,-0.0016000000000000014
50米,-0.0020000000000000018
作业完成率_显式,-0.0020000000000000018
门禁次数,-0.002400000000000002
课堂作业分波动,-0.0036000000000000034
测验分波动,-0.0036000000000000034
进门次数,-0.0040000000000000036
引体向上,-0.0040000000000000036
